Contig	GeneID	Start	End	Annotation
Contig_1	PSPPH_A0001	134	307	Uncharacterized protein 
Contig_1	PSPPH_A0002	385	1617	RepA 
Contig_1	PSPPH_A0004	2807	2995	Uncharacterized protein 
Contig_1	PSPPH_A0005	2995	3276	Addiction module toxin, RelE/StbE family 
Contig_1	PSPPH_A0006	5044	3428	Polygalacturonase 
Contig_1	PSPPH_A0007	5092	5208	Unknown protein sequence
Contig_1	PSPPH_A0008	5569	5387	Uncharacterized protein 
Contig_1	PSPPH_A0009	6696	6412	Type III secreted effector hopPmaA 
Contig_1	PSPPH_A0010	7147	9279	Type III effector HopD1 
Contig_1	PSPPH_A0011	9398	9297	Uncharacterized protein 
Contig_1	PSPPH_A0012	10738	9395	Type III effector HopQ1 
Contig_1	PSPPH_A0014	12842	12234	ISPsy18, transposase 
Contig_1	PSPPH_A0016	16175	14859	Membrane protein, putative 
Contig_1	PSPPH_A0017	16594	16178	Uncharacterized protein 
Contig_1	PSPPH_A0018	16951	16817	Uncharacterized protein 
Contig_1	PSPPH_A0019	17933	17661	Resolvase, putative 
Contig_1	PSPPH_A0021	18418	18705	Uncharacterized protein 
Contig_1	PSPPH_A0022	18767	19180	Uncharacterized protein 
Contig_1	PSPPH_A0023	19302	19153	Uncharacterized protein 
Contig_1	PSPPH_A0025	20346	20056	Uncharacterized protein 
Contig_1	PSPPH_A0026	20380	20778	Uncharacterized protein 
Contig_1	PSPPH_A0027	22221	20926	Levansucrase (Beta-D-fructofuranosyl transferase)(Sucrose 6-fructosyl transferase) 
Contig_1	PSPPH_A0028	22314	22790	Uncharacterized protein 
Contig_1	PSPPH_A0029	24863	22914	GGDEF domain/EAL domain protein 
Contig_1	PSPPH_A0030	25081	25578	ISPsy16 transposase 
Contig_1	PSPPH_A0031	26415	28610	Type III effector HopAU1 
Contig_1	PSPPH_A0032	28783	28496	ISEhe3 orfA 
Contig_1	PSPPH_A0033	29010	29360	TrbA protein 
Contig_1	PSPPH_A0034	29727	29350	PIN domain protein 
Contig_1	PSPPH_A0035	29924	29724	Uncharacterized protein 
Contig_1	PSPPH_A0037	30683	30976	TrbC protein 
Contig_1	PSPPH_A0039	32669	32884	Uncharacterized protein 
Contig_1	PSPPH_A0040	32881	33513	Uncharacterized protein 
Contig_1	PSPPH_A0042	36404	34374	Methyl-accepting chemotaxis protein 
